OrderYearMonth,Quantity
2014/01,284
2014/02,159
2014/03,585
2014/04,536
2014/05,466
2014/06,521
2014/07,550
2014/08,609
2014/09,1000
2014/10,573
2014/11,1219
2014/12,1079
2015/01,236
2015/02,239
2015/03,515
2015/04,543
2015/05,575
2015/06,486
2015/07,557
2015/08,598
2015/09,1086
2015/10,631
2015/11,1310
2015/12,1203
2016/01,358
2016/02,306
2016/03,579
2016/04,635
2016/05,863
2016/06,742
2016/07,758
2016/08,693
2016/09,1316
2016/10,767
2016/11,1406
2016/12,1414
2017/01,597
2017/02,363
2017/03,885
2017/04,733
2017/05,887
2017/06,931
2017/07,840
2017/08,884
2017/09,1660
2017/10,1133
2017/11,1840
2017/12,1723
